name,store_id,프로그램명,회차,방영일자,주제
루엘드파리,36266637,생활의달인,512회,2016년 2월 8일,크루아상/브리오슈
루엘드파리,36266637,생활의달인,503회,2015년 12월 7일,크루아상
장티크(J`antique),37768779,생활의달인,550회,2016년 11월 28일,앙데니
이도곰탕 본점,20454572,생방송투데이,2534회,2020년 3월 19일,한우곰탕
이도곰탕 본점,20454572,수요미식회,188회,2019년 1월 2일,곰탕
이도곰탕 본점,20454572,2TV생생정보,24회,2016년 2월 4일,맑은곰탕
강남 곱,985516513,2TV생생정보,1705회,2022년 12월 23일,곱창
강남 곱,985516513,생방송투데이,2691회,2020년 11월 3일,곱창
강남 곱,985516513,식신로드3,2회,2017년 11월 2일,모듬구이/대창구이
연타발 선릉점,35927543,2TV저녁생생정보,15회,2015년 11월 3일,스테이크
연타발 선릉점,35927543,2015테이스티로드,8회,2015년 3월 7일,본인립아이/갈빗살
별양집,19872940,맛있는녀석들,446회,2023년 9월 15일,특양구이
별양집,19872940,생방송투데이,2481회,2020년 1월 2일,양대창
별양집,19872940,2TV생생정보,337회,2017년 5월 26일,특양구이/대창구이
부산양곱창,37718307,맛있을지도,37회,2016년 12월 25일,양구이/대창구이
서초면옥 서초본점,11525305,생방송투데이,3342회,2023년 7월 21일,갈비탕
서초면옥 서초본점,11525305,찾아라맛있는TV,581회,2013년 6월 22일,냉면
서초면옥 서초본점,11525305,생생정보통,516회,2012년 9월 11일,갈비찜
서관면옥 교대본점,1438690191,맛있는녀석들,417회,2023년 2월 17일,평양냉면
서관면옥 교대본점,1438690191,생방송오늘저녁,1094회,2019년 6월 21일,평양식골동냉면
우밀가 상록점,1511977717,생방송오늘저녁,1438회,2020년 11월 17일,어복쟁반/안동국시
우밀가 상록점,1511977717,2TV생생정보,899회,2019년 9월 10일,어복쟁반
오장동면옥 서초점,37756005,2TV생생정보,226회,2016년 12월 19일,대왕갈비찜
오장동면옥 서초점,37756005,식객남녀잘먹었습니다,6회,2016년 7월 23일,대왕소갈비찜/물비빔면
오장동면옥 서초점,37756005,생방송투데이,1608회,2016년 4월 7일,대왕갈비찜
진미평양냉면,37912785,식객허영만의백반기행,259회,2024년 8월 11일,평양냉면/제육반
진미평양냉면,37912785,전지적참견시점,146회,2021년 3월 27일,비빔냉면/만두
진미평양냉면,37912785,맛있는녀석들,280회,2020년 7월 6일,평양냉면
진미평양냉면,37912785,맛있는녀석들,267회,2020년 4월 3일,평양냉면/불고기
진미평양냉면,37912785,밥블레스유,26회,2019년 1월 3일,불고기/평양냉면
진미평양냉면,37912785,수요미식회,128회,2017년 7월 26일,냉면/제육
돝고기506,1087970189,생방송투데이,3030회,2022년 4월 15일,삼겹살
돝고기506,1087970189,밥블레스유,6회,2018년 7월 26일,삼겹살
돝고기506,1087970189,나혼자산다,224회,2017년 12월 8일,삼겹살
유정식당,31744281,생방송투데이,3287회,2023년 5월 4일,흑돼지돌솥비빔밥
유정식당,31744281,생방송아침이좋다,795회,2019년 7월 5일,방탄비빔밥
김돈이 본점,19578744,VJ특공대,595회,2011년 12월 9일,스테이크
연탄마을,13150009,찾아라맛있는TV,653회,2015년 1월 10일,삼겹살/연탄초벌삼겹살
연탄마을,13150009,생생정보통,559회,2012년 12월 3일,석쇠불고기
꼭그닭 강남점,35734815,2TV생생정보,221회,2016년 12월 12일,빠네치킨
꼭그닭 강남점,35734815,2TV생생정보,74회,2016년 4월 22일,퓨전빠네치킨
꼭그닭 강남점,35734815,우리는한국인,202회,2014년 10월 16일,치킨
낙원타코 강남역점,1094851432,생방송투데이,3048회,2022년 5월 11일,대창파히타
낙원타코 강남역점,1094851432,생방송투데이,2480회,2020년 1월 1일,꽃대창파히타
낙원타코 강남역점,1094851432,생방송투데이,2433회,2019년 10월 16일,꽃대창파히타
3대삼계장인,1013309145,줄서는식당,16회,2024년 5월 27일,쑥삼계탕/수비드닭볶음탕/누룽알
3대삼계장인,1013309145,2TV생생정보,1754회,2023년 3월 3일,삼색삼계탕/닭볶음탕
3대삼계장인,1013309145,맛있는녀석들,355회,2021년 12월 10일,잣삼계탕/녹두삼계탕/수비드닭볶음탕
3대삼계장인,1013309145,2TV생생정보,999회,2020년 2월 7일,쑥삼계탕
3대삼계장인,1013309145,생방송투데이,2351회,2019년 6월 19일,시루삼계탕
3대삼계장인,1013309145,생방송오늘저녁,1036회,2019년 3월 27일,수비드닭볶음탕/쑥삼계탕
땀땀,1298530125,줄서는식당,6회,2022년 2월 21일,소곱창쌀국수/숯불직화소고기쌀국수/돼지갈비튀김
땀땀,1298530125,생방송투데이,2658회,2020년 9월 14일,쪽갈비쌀국수/소곱창쌀국수
땀땀,1298530125,생방송오늘저녁,1017회,2019년 2월 25일,곱창쌀국수/불타는쌀국수
땀땀,1298530125,생방송아침이좋다,535회,2018년 7월 4일,곱창쌀국수
땀땀,1298530125,2TV생생정보,471회,2017년 12월 14일,고기폭탄쌀국수
베트남이랑,1890424195,맛있는녀석들,327회,2021년 5월 28일,베트남음식
베트남이랑,1890424195,생방송투데이,2384회,2019년 8월 5일,베트남음식
고래불,38233690,전지적참견시점,93회,2020년 3월 1일,전복회/모둠회
고래불,38233690,생방송투데이,2507회,2020년 2월 11일,뚝배기도다리쑥국
고래불,38233690,수요미식회,106회,2017년 2월 22일,문어숙회/곰치국
통영집,19378213,찾아라맛있는TV,714회,2016년 3월 26일,도다리쑥국
통영집,19378213,맛있는녀석들,57회,2016년 3월 25일,도다리쑥국
강남목장,12033187,맛있는녀석들,94회,2016년 12월 9일,한우특수부위
박서방순대국밥 삼성본점,11721161,2016테이스티로드,4회,2016년 3월 12일,순대정식/순대국밥
로리스 더 프라임 립,33562781,토요일은밥이좋아,37회,2022년 9월 10일,미국스테이크
로리스 더 프라임 립,33562781,생방송투데이,2677회,2020년 10월 14일,스테이크
로리스 더 프라임 립,33562781,수요미식회,122회,2017년 6월 15일,프라임립/스테이크
로리스 더 프라임 립,33562781,2014테이스티로드,27회,2014년 7월 26일,페이머스스피닝볼샐러드/로스트비프
고에몬 강남점,31413936,2TV생생정보,1061회,2020년 5월 5일,오믈렛
고에몬 강남점,31413936,생활의달인,545회,2016년 10월 24일,수플레오믈렛
어거스트 힐 강남점,661051254,생방송오늘저녁,1760회,2022년 4월 13일,티본스테이크/토마호크스테이크
어거스트 힐 강남점,661051254,생방송투데이,2850회,2021년 6월 22일,스테이크
위트앤미트 강남점,1771536211,줄서는식당,15회,2022년 5월 2일,샌드위치
위트앤미트 강남점,1771536211,생방송투데이,3032회,2022년 4월 19일,산더미샌드위치
비언유주얼,1789186517,2TV생생정보,571회,2018년 5월 14일,부야베스/스테이크
아실라 강남점,20123101,굿모닝대한민국,340회,2012년 9월 14일,14일
아실라 강남점,20123101,찾아라맛있는TV,516회,2012년 3월 10일,케프타비프타진
아이해브어드림 강남역 본점,12077060,2TV생생정보,501회,2018년 1월 25일,신선로파스타
아이해브어드림 강남역 본점,12077060,2TV아침,128회,2015년 6월 29일,29일
아이해브어드림 강남역 본점,12077060,생생정보통,1012회,2014년 12월 18일,신선로파스타
아이해브어드림 강남역 본점,12077060,굿모닝대한민국,463회,2013년 3월 6일,신선로파스타/딸기피자
아이해브어드림 강남역 본점,12077060,VJ특공대,605회,2012년 2월 24일,신선로파스타
우동명가기리야마본진,31068331,2TV저녁생생정보,108회,2015년 7월 14일,냉우동
우동명가기리야마본진,31068331,식신로드1,170회,2014년 2월 22일,우동
우동명가기리야마본진,31068331,모닝와이드,5404회,2012년 11월 15일,우동
마초야,37436116,생방송오늘저녁,734회,2017년 11월 28일,일본식수제생우동
마초야,37436116,생방송투데이,1614회,2016년 4월 18일,수제생우동
쇠뚜레 선릉점,13150107,2TV생생정보,1417회,2021년 10월 25일,그물생갈비
쇠뚜레 선릉점,13150107,2TV생생정보,79회,2016년 4월 29일,갈비/생육회
미랑 선릉본점,386982725,토요일은밥이좋아,106회,2024년 1월 27일,양갈비/보양식양전골
미랑 선릉본점,386982725,생방송투데이,2631회,2020년 8월 6일,양고기코스요리
봉우화로,11609540,2TV저녁생생정보,100회,2015년 6월 29일,29일
봉우화로,11609540,굿모닝대한민국,577회,2013년 8월 13일,가위냉면
국제수입식당 본점,1256460481,생방송오늘아침,4373회,2024년 1월 16일,삼겹살
국제수입식당 본점,1256460481,생방송투데이,2752회,2021년 2월 1일,냉동삼겹살
서초동연가 교대점,13198485,굿모닝대한민국,580회,2013년 8월 16일,16일
삼산회관 교대점,1456587379,줄서는식당,13회,2022년 4월 18일,돼지김치구이/돼지김치찌개
삼산회관 교대점,1456587379,생방송투데이,2886회,2021년 8월 31일,양푼김치찌개
반룡산,12053368,모닝와이드,7252회,2020년 1월 24일,삯국수
반룡산,12053368,생방송투데이,2423회,2019년 10월 1일,가릿국밥
반룡산,12053368,생방송오늘저녁,1094회,2019년 6월 21일,가자미회수육냉면/돌판수육
반룡산,12053368,수요미식회,56회,2016년 3월 9일,가릿국밥/육수냉면
반룡산,12053368,6시내고향,5710회,2015년 2월 19일,함경도음식
반룡산,12053368,우리는한국인,193회,2014년 8월 14일,이북음식
반룡산,12053368,모닝와이드,5442회,2013년 1월 9일,국밥
반룡산,12053368,생생정보통,540회,2012년 10월 29일,함흥음식
마녀주방 강남점,35821213,생방송오늘저녁,407회,2016년 7월 20일,파스타/스테이크
마녀주방 강남점,35821213,2TV저녁생생정보,115회,2015년 7월 27일,27일
마녀주방 강남점,35821213,2014테이스티로드,45회,2014년 11월 29일,넓적다리스테이크/간장치킨크림파스타
마노디셰프 삼성점,13096864,모닝와이드,5937회,2014년 12월 2일,베리
마노디셰프 삼성점,13096864,찾아라맛있는TV,523회,2012년 4월 28일,스테이크
미나미 서초점,37891352,인생메뉴잘먹겠습니다,13회,2016년 10월 15일,니신소바/소바마끼
미나미 서초점,37891352,수요미식회,76회,2016년 7월 27일,소보로나스/아나고난방
대치정육식당,11847175,토요일은밥이좋아,96회,2023년 11월 4일,차돌박이/안창살/육회/차돌라면
대치정육식당,11847175,수요미식회,1회,2015년 1월 21일,등심구이
뽕나무쟁이 선릉본점,13468956,생방송투데이,2367회,2019년 7월 11일,족발
뽕나무쟁이 선릉본점,13468956,2TV생생정보,74회,2016년 4월 22일,모둠족발
뽕나무쟁이 선릉본점,13468956,VJ특공대,680회,2013년 8월 30일,족발
영동족발 본점,12917286,생방송오늘저녁,139회,2015년 6월 5일,족발
교대평상집,1011789139,생방송오늘아침,3313회,2019년 10월 8일,족발/꽃게탕
교대평상집,1011789139,생방송투데이,2143회,2018년 7월 17일,족발
영동족발 양재3호점,19867538,생방송투데이,2325회,2019년 5월 9일,온족발
영동족발 양재3호점,19867538,인생메뉴잘먹겠습니다,13회,2016년 10월 15일,족발/치킨
영동족발 양재3호점,19867538,대박의비밀,1회,2012년 9월 28일,족발
슈퍼집,36470412,생방송투데이,2230회,2018년 12월 17일,떡볶이/깻잎순대볶음
슈퍼집,36470412,2015테이스티로드,33회,2015년 10월 3일,떡볶이
보슬보슬 역삼본점,1293718759,생방송오늘저녁,1847회,2022년 8월 17일,달걀듬뿍김밥
