name,store_id,월,화,수,목,금,토,일,영업구분
보태닉마켓 딜리버리 강남직영점,1631533804,10:30,10:30,10:30,10:30,10:30,10:30,정기휴무 (매주 일요일),오픈
보태닉마켓 딜리버리 강남직영점,1631533804,19:30,19:30,19:30,19:30,19:30,19:30,정기휴무 (매주 일요일),마감
샐러딧 강남본점,1130747872,07:00,07:00,07:00,07:00,07:00,정기휴무 (매주 토요일),정기휴무 (매주 일요일),오픈
샐러딧 강남본점,1130747872,21:00,21:00,21:00,21:00,21:00,정기휴무 (매주 토요일),정기휴무 (매주 일요일),마감
샐러딧 강남본점,1130747872,20:50,20:50,20:50,20:50,20:50,정기휴무 (매주 토요일),정기휴무 (매주 일요일),라스트오더
샐러디 학동역점,1454675173,08:00,08:00,08:00,08:00,08:00,정기휴무 (매주 토요일),정기휴무 (매주 일요일),오픈
샐러디 학동역점,1454675173,20:00,20:00,20:00,20:00,20:00,정기휴무 (매주 토요일),정기휴무 (매주 일요일),마감
슬로우캘리 선릉점,1247164356,11:00,11:00,11:00,11:00,11:00,11:00,11:00,오픈
슬로우캘리 선릉점,1247164356,20:30,20:30,20:30,20:30,20:30,20:00,20:00,마감
슬로우캘리 선릉점,1247164356,15:00,15:00,15:00,15:00,15:00,,,브레이크타임시작1
슬로우캘리 선릉점,1247164356,17:00,17:00,17:00,17:00,17:00,,,브레이크타임종료1
슬로우캘리 삼성점,1328247627,10:30,10:30,10:30,10:30,10:30,정기휴무 (매주 토요일),정기휴무 (매주 일요일),오픈
슬로우캘리 삼성점,1328247627,20:30,20:30,20:30,20:30,20:30,정기휴무 (매주 토요일),정기휴무 (매주 일요일),마감
슬로우캘리 삼성점,1328247627,14:30,14:30,14:30,14:30,14:30,정기휴무 (매주 토요일),정기휴무 (매주 일요일),브레이크타임시작1
슬로우캘리 삼성점,1328247627,17:00,17:00,17:00,17:00,17:00,정기휴무 (매주 토요일),정기휴무 (매주 일요일),브레이크타임종료1
슬로우캘리 삼성점,1328247627,20:00,20:00,20:00,20:00,20:00,정기휴무 (매주 토요일),정기휴무 (매주 일요일),라스트오더
샐러디 논현역점,1267786529,08:30,08:30,08:30,08:30,08:30,10:30,정기휴무 (매주 일요일),오픈
샐러디 논현역점,1267786529,20:30,20:30,20:30,20:30,20:30,19:00,정기휴무 (매주 일요일),마감
프레퍼스 다이어트 푸드 선릉직영점,1616976819,09:00,09:00,09:00,09:00,09:00,09:00,09:00,오픈
프레퍼스 다이어트 푸드 선릉직영점,1616976819,22:00,22:00,22:00,22:00,22:00,22:00,22:00,마감
프레퍼스 다이어트 푸드 선릉직영점,1616976819,21:50,21:50,21:50,21:50,21:50,21:50,21:50,라스트오더
