name,store_id,category,address,tel,options,mapx,mapy,비고
보태닉마켓 딜리버리 강남직영점,1631533804,"다이어트,샐러드",서울 서초구 서운로 138 지하1층 11호 보태닉마켓 딜리버리 강남직영점,0507-1490-3322,,127.025266,37.4959961,
샐러딧 강남본점,1130747872,"다이어트,샐러드","서울 강남구 봉은사로 227 1층, 2층",0507-1327-7722,,127.0370049,37.5084629,
샐러디 학동역점,1454675173,"다이어트,샐러드",서울 강남구 학동로 165 지상1층 103호,0507-1334-6738,,127.0290049,37.5137041,
슬로우캘리 선릉점,1247164356,"다이어트,샐러드",서울 강남구 테헤란로 313 지상1층 103호,0507-1352-9853,식약처 인증 위생등급 매우우수 음식점,127.0453297,37.5036935,
슬로우캘리 삼성점,1328247627,"다이어트,샐러드",서울 강남구 삼성로 517 1층 110-1호,0507-1466-1350,,127.0556419,37.5081073,
샐러디 논현역점,1267786529,"다이어트,샐러드",서울 서초구 신반포로 337 1층,0507-1342-7895,식약처 인증 위생등급 매우우수 음식점,127.0204939,37.5110267,
프레퍼스 다이어트 푸드 선릉직영점,1616976819,"다이어트,샐러드",서울 강남구 선릉로86길 16 2층,0507-1479-1106,,127.0510724,37.503287,
헬시플레저,1541253011,"다이어트,샐러드",서울 강남구 논현로102길 6 1층,0507-1343-5044,,127.0357505,37.5048492,
베지야,1164528822,"다이어트,샐러드",서울 강남구 논현로114길 18 1층,0507-1307-0105,,127.0348995,37.508808,
잇피티 역삼점,1771827830,"다이어트,샐러드","서울 강남구 언주로 537 지하1층, 1층",070-4161-0003,,127.0407376,37.5059864,
피그인더가든 선릉점,1277683404,"다이어트,샐러드",서울 강남구 테헤란로 424 1층,02-561-6396,식약처 인증 위생등급 매우우수 음식점,127.0533871,37.5055785,
키친콤마 강남점,1845572424,"다이어트,샐러드",서울 서초구 강남대로 495 1층,0507-1474-7875,,127.0231918,37.5063766,
크리스틴 키친,1575861123,"다이어트,샐러드",서울 강남구 논현로106길 23 카사모노 1층 102호 크리스틴 키친,0507-1428-2822,,127.0361653,37.5065331,
어스샐러드,1538239846,"다이어트,샐러드",서울 강남구 테헤란로 322 지하1층 제비128호,0507-1372-7427,,127.046588,37.5032509,
단비,1372828721,"다이어트,샐러드",서울 강남구 언주로125길 11 지상1층 단비,0507-1376-9254,,127.0343466,37.5128856,
샐러링 선릉점,1031919205,"다이어트,샐러드",서울 강남구 테헤란로52길 16 상가2동 16호,0507-1393-3316,,127.0468467,37.5026537,
리본레시피 선릉점,1023853624,"다이어트,샐러드",서울 강남구 테헤란로55길 17 1층,0507-1497-8988,,127.0471219,37.5056822,
샐러디 남부터미널역점,1865439977,"다이어트,샐러드",서울 서초구 효령로55길 39,02-588-9578,,127.0140881,37.4867745,
내여자를부탁해 선릉점,1059797455,"다이어트,샐러드",서울 강남구 테헤란로 322 지하 1층 B150호,0507-1385-2040,,127.0465038,37.5029975,
그린벨,1092283909,"다이어트,샐러드",서울 강남구 선릉로 717 103호 그린벨,0507-1477-7160,,127.0405744,37.5186542,
랄라보울 LALA BOWL,1678819751,"다이어트,샐러드",서울 서초구 논현로 173 101호 랄라보울,0507-1417-0626,,127.0413073,37.484936,
시티델리 도곡점,1468997269,"다이어트,샐러드",서울 강남구 논현로 201 지하 1층,02-2058-0697,,127.0409052,37.4859024,
더감성,1681549502,"다이어트,샐러드",서울 강남구 논현로30길 7 1층,0507-1386-1230,,127.0430203,37.4831214,
샐러디 언주아크로힐스점,1003296854,"다이어트,샐러드",서울 강남구 언주로 604 112호,0507-1476-8999,,127.0384169,37.5091683,
보울레시피 강남선릉점,1186111779,"다이어트,샐러드",서울 강남구 선릉로93길 32 1층,0507-1301-9213,,127.0460763,37.504682,
크리스피프레시 선릉점,1029747352,"다이어트,샐러드",서울 강남구 테헤란로 316 메트라이프타워 B1,070-4121-5430,식약처 인증 위생등급 매우우수 음식점,127.0453733,37.5031156,
짐키친 청담점,1194346028,"다이어트,샐러드",서울 강남구 학동로 501 지하1층,0507-877-3217,,127.0504815,37.5191636,
더짐샐러드,1255009268,"다이어트,샐러드",서울 강남구 언주로 405 2층 202호,0507-1345-7972,,127.0440055,37.4991443,
마치래빗 샐러드 강남역점,1593332476,"다이어트,샐러드",서울 강남구 테헤란로4길 46 쌍용플래티넘밸류 B1-139호,070-8880-4321,,127.0304041,37.4955422,
그린레시피,1666479590,"다이어트,샐러드",서울 강남구 강남대로120길 31 1층 그린레시피,0507-1375-1256,,127.0257593,37.5076133,
그린즈 샐러드&샌드위치,1328354680,"다이어트,샐러드",서울 강남구 테헤란로64길 9 선릉역대우아이빌 1층,02-556-4243,,127.051395,37.5044465,
샐러디 역삼점,36690549,"다이어트,샐러드",서울 강남구 테헤란로22길 14 1층 샐러디 역삼점,0507-1315-4066,,127.0350744,37.4989769,
크리스피프레시 파르나스몰점,1251751353,"다이어트,샐러드","서울 강남구 테헤란로 521 파르나스몰 B1 F-5, 6호",0507-1361-0262,식약처 인증 위생등급 매우우수 음식점,127.0605942,37.5087728,
프레시크레딧 카페테리아 강남본점,1646355569,"다이어트,샐러드",서울 강남구 역삼로 555 지하 1층 B101호,070-8863-1004,,127.0634286,37.5049167,
샐러리아 대치은마점,1469202340,"다이어트,샐러드",서울 강남구 삼성로 212 은마상가 A-117호,0507-2087-0710,,127.0631127,37.4957104,
샐러디 신논현역점,1305574079,"다이어트,샐러드",서울 서초구 사평대로56길 7,02-595-6738,"농림축산식품부 제공
안심식당",127.0233225,37.5031864,
프레시크레딧 강남파이낸스센터점,1061970778,"다이어트,샐러드",서울 강남구 테헤란로 152 지하 1층,0507-1393-5082,,127.0365456,37.5000263,
슬로우캘리 양재역점,1723414112,"다이어트,샐러드",서울 서초구 남부순환로347길 59 슬로우캘리 양재역점,0507-1350-1157,,127.0307824,37.4870007,
슈퍼런샐러드,1725002833,"다이어트,샐러드",서울 강남구 언주로 604 아크로힐스 단지상가 지1층 113호,0507-1347-4865,,127.0385369,37.5090279,
샐러리아 강남점,1335534515,"다이어트,샐러드",서울 강남구 논현로94길 32 1층,0507-877-3179,,127.0389178,37.5029358,
오샐러드 언주점,1146166956,"다이어트,샐러드",서울 강남구 봉은사로29길 6 1층 오샐러드 언주점,02-546-5989,,127.0347895,37.5081838,
클로버포케 삼성본점,1578993904,"다이어트,샐러드",서울 강남구 봉은사로74길 14 지상1층 101호,0507-1382-7679,,127.0517368,37.5116089,
부부 샐러드.샌드위치,1909764328,"다이어트,샐러드",서울 강남구 역삼로 204 (삼환아르누보) 지하1층 101호,0507-1378-1300,,127.0399676,37.4958622,
샐러디 대치점,1904488507,"다이어트,샐러드",서울 강남구 삼성로 151 선경상가 지상1층 104호,02-567-1456,,127.0607212,37.4930708,
샐러디 양재역점,1248467129,"다이어트,샐러드",서울 서초구 강남대로 265,02-6952-6738,,127.0324442,37.4870624,
바디쉐프 역삼본점,33879189,"다이어트,샐러드",서울 강남구 논현로 508 GS타워 B1 바디쉐프,0507-1316-1372,,127.036824,37.5020963,
베스트 샐러드 선릉직영점,1844035009,"다이어트,샐러드",서울 강남구 테헤란로52길 21 지하1층 키친빌더 지하1층 1호실,02-6954-2165,,127.0484638,37.5028882,
SLB샐러드 교대점,1435162048,"다이어트,샐러드",서울 서초구 서초중앙로22길 45 1층,0507-1464-0543,,127.01647,37.4935102,
에브리데이샐러드 강남1호점,1270128290,"다이어트,샐러드",서울 강남구 봉은사로 174 102호,0507-1321-5899,,127.0330677,37.5068241,
샐러디 역삼역점,1990209157,"다이어트,샐러드",서울 강남구 강남대로94길 66 지상1층 샐러디,0507-1356-5897,,127.0326592,37.5006048,
샐러데이즈 강남역점,1509419898,"다이어트,샐러드",서울 서초구 사임당로 178 이즈타워 1층 102호,02-525-8757,,127.0289802,37.4925081,
샐러드몬스터,1988843211,"다이어트,샐러드",서울 강남구 테헤란로4길 35 1층,070-8657-1220,,127.0306345,37.4961841,
오케이포케 선릉,1370833645,"다이어트,샐러드",서울 강남구 삼성로85길 33 지상1층 102-3호,0507-1485-0597,,127.0546396,37.5043657,
슬로우캘리 논현점,1571112026,"다이어트,샐러드",서울 강남구 강남대로118길 60,0507-1330-1400,,127.0277159,37.5072257,
훅트포케 양재점,1081786133,"다이어트,샐러드",서울 서초구 강남대로39길 15-10 1층 101호,0507-1384-8294,,127.0322244,37.4857977,
짐키친 강남점,1213433429,"다이어트,샐러드",서울 서초구 사임당로 174 B101호,0507-877-3748,,127.0286365,37.4921978,
슬로우앤로 2호점,1903569471,"다이어트,샐러드",서울 강남구 논현로 412 1층101~102호,02-552-3668,,127.0392088,37.4968956,
샐러드박스 뱅뱅사거리점,1657079453,"다이어트,샐러드",서울 서초구 효령로 424,070-4007-1340,,127.0303052,37.4889173,
식스밀 다이어트 역삼점,1110602732,"다이어트,샐러드",서울 강남구 논현로85길 52 116호,0507-1366-9681,,127.0340026,37.4982742,
라이브볼,1716926393,"다이어트,샐러드",서울 강남구 테헤란로26길 14 B1층 도시주방 105호 라이브볼,0507-1384-0621,,127.0359403,37.4992765,
도시주방 역삼점,1150259348,"다이어트,샐러드",서울 강남구 테헤란로26길 14 지하2층 104호,0503-6218-9130,,127.0359403,37.4992765,
