,name,store_id,category,address,tel,amenity,broadcast,business_hours,menu
0,춘천한옥집,37021055,한식,서울 강남구 강남대로102길 29 지하1층,0507-1400-5324,"배달, 포장, 무선 인터넷, 남/녀 화장실 구분, 단체 이용 가능, 유아의자",,"토
11:30 - 22:00
21:00 라스트오더; 일
11:30 - 22:00
21:00 라스트오더; 월
11:30 - 22:00
16:00 - 17:00 브레이크타임
21:00 라스트오더; 화
11:30 - 22:00
16:00 - 17:00 브레이크타임
21:00 라스트오더; 수
11:30 - 22:00
16:00 - 17:00 브레이크타임
21:00 라스트오더; 목
11:30 - 22:00
16:00 - 17:00 브레이크타임
21:00 라스트오더; 금
11:30 - 22:00
16:00 - 17:00 브레이크타임
21:00 라스트오더","닭갈비
강남역 맛집 춘천한옥집 닭갈비
12,000원; 수제생감자채전
강남역 맛집 수제생감자채전
8,000원; 춘천볶음밥
강남역 맛집 춘천볶음밥
3,000원; 볶음밥 누룽지 추가
강남역 맛집 춘천볶음밥 누릉지추가
2,000원"
1,고베규카츠 서울 강남점,254171411,돈가스,서울 강남구 강남대로102길 29 예촌빌딩,0507-1443-4620,"무선 인터넷, 남/녀 화장실 구분, 포장, 배달, 예약",,"토
11:30 - 22:00
21:00 라스트오더; 일
11:30 - 22:00
21:00 라스트오더; 월
11:30 - 22:00
16:00 - 17:00 브레이크타임
21:00 라스트오더; 화
11:30 - 22:00
16:00 - 17:00 브레이크타임
21:00 라스트오더; 수
11:30 - 22:00
16:00 - 17:00 브레이크타임
21:00 라스트오더; 목
11:30 - 22:00
16:00 - 17:00 브레이크타임
21:00 라스트오더; 금
11:30 - 22:00
16:00 - 17:00 브레이크타임
21:00 라스트오더","부채살정식 중
24,000원; 부채살정식 대
31,000원; 살치살정식 중
38,000원; 살치살정식 대
49,000원; 우삼겹덮밥
12,000원; 규카츠 소바
일본 정통 방식 섬세함을 더한 진한 풍미의 소바, 육즙 가득한 규카츠와 부드러운 반숙 계란을 더한 상상 이상의 클라스!
16,000원; 새우 삼겹 덮밥
고소한 우삼겹에 탱글탱글 새우, 거기에 일본식 특제소스와 불맛까지 더한 강력 추천메뉴
12,000원; 치킨마요덮밥
치킨가라아게와 특제소스 마요드레싱과 덮밥소스를 뿌린 후 비벼 먹는 맛이 일품!
11,000원; 다시계란
고소한 계란에 가쓰오 소스를 더한 소스! 규카츠와 함께하면 더 맛있습니다.
1,000원; 멜팅치즈볼
달콤하고 푹신한 반죽안에 진한 치즈가 듬뿍!
5,000원; 가라아게
바삭한 튀김에 촉촉한 순살 치킨을 동시에 즐길 수 있는 인기만점 메뉴!
5,000원"
2,을지다락 강남,1483096423,양식,서울 강남구 강남대로96길 22 2층,0507-1343-9474,"단체 이용 가능, 무선 인터넷, 남/녀 화장실 구분, 포장, 배달, 유아의자, 예약, 간편결제",,"토
11:30 - 21:15
20:30 라스트오더; 일
11:30 - 21:15
20:30 라스트오더; 월
11:30 - 21:15
15:15 - 16:30 브레이크타임
14:30, 20:30 라스트오더; 화
11:30 - 21:15
15:15 - 16:30 브레이크타임
14:30, 20:30 라스트오더; 수
11:30 - 21:15
15:15 - 16:30 브레이크타임
14:30, 20:30 라스트오더; 목
11:30 - 21:15
15:15 - 16:30 브레이크타임
14:30, 20:30 라스트오더; 금
11:30 - 21:15
15:15 - 16:30 브레이크타임
14:30, 20:30 라스트오더","매콤크림파스타
세 가지 치즈, 크림 소스 그리고 매콤한 향신료
18,000원; 차돌박이들깨파스타
차돌박이, 들깨가루, 깻잎으로 맛을 낸 독특한 오일파스타
18,000원; 납작까르보나라파스타
넓은 파케리면과 베이컨, 트러플, 크림소스 까르보나라
18,000원; 크림어니언감자튀김
크림 어니언 소스와 베이컨이 올라간 감자튀김
10,000원; 트러플감자튀김
트러플 오일과 꿀로 맛을 낸 심플한 감자튀김
10,000원; 을지에이드_레몬
색감이 예쁜 레몬에이드
6,900원; 강남에이드_유자
예쁜 핑크톤의 유자에이드
6,900원; 코카콜라
3,500원; 제로콜라
3,500원; 스프라이트
3,500원"
3,온센 강남점,1250740851,일식당,서울 서초구 서초대로73길 42 리가스퀘어 1층 111호,02-599-2958,"주차, 단체 이용 가능, 포장",,"매일
11:30 - 21:30
15:30 - 16:30 브레이크타임
15:00, 21:00 라스트오더","버섯텐동
온센타마고1/김1/새송이버섯1/양송이버섯1/표고버섯2/팽이버섯1/느타리버섯1/꽈리고추1
9,900원; 에비텐동
새우4/온센타마고1/김1/꽈리고추1
14,900원; 이까텐동
갑오징어1/오징어 몸채1/오징어 다리1/새우1/온센타마고1/김1/단호박1/꽈리고추1
15,900원; 가라아게텐동
닭튀김10/타마고1/꽈리고추4
15,900원; 멘치카츠동
치즈1/맨치2/꽈리고추1/김1/타마고1
14,900원; 에비카레
새우튀김과 온센만의 특제카레
10,900원; 부타카츠 카레
삼겹살 카츠와 온센만의 특제카레
12,900원; 카모카츠 카레(오리)
오리가슴살 튀김과 온센만의 특제카레
13,900원; 마제 우동
볶은 돼지고기와 가쓰오부시, 목이버섯 등을 비벼 먹는 우동
8,900원; 온센 소바
온센 특제소스로 맛을 낸 시원한 메밀 소바
8,900원; 온센 우동
새우튀김과 유부를 얹어 깔끔한 맛을 낸 우동
8,900원; 온센 코울슬로
고소하고 상큼한 온센만의 소스로 맛을 낸 코울슬로
1,900원; 가라아게
온센만의 양념으로 맛을 낸 일본식 닭튀김
4,500원; 닭껍질교자
닭껍질안에 만두를 빚어 튀긴 닭껍질 만두
4,900원; 오키나와
7,000원; 테라 생맥주
4,500원; 하이볼
7,900원; 에이드(레몬,망고,오렌지,청포도)
4,500원; 콜라/사이다/제로콜라
3,000원"
4,이자카야 공감 강남역점,1252683665,이자카야,서울 서초구 강남대로65길 7 피렌체빌딩2층,0507-1382-6618,"예약, 단체 이용 가능, 무선 인터넷",,"토
16:30 - 03:00; 일
16:30 - 01:30; 월
16:30 - 01:30; 화
16:30 - 01:30; 수
16:30 - 01:30; 목
16:30 - 01:30; 금
16:30 - 03:00","공감모듬사시미
38,000원; 나가사끼 짬뽕나베
25,000원; 김치카츠나베
24,000원; 해물누룽지나베
25,000원; 일본식 대창구이
25,000원; 한우스지수육
26,000원; 메로소금구이
26,000원; 모찌리도후
10,000원"
5,장인닭갈비 강남점,37792495,닭갈비,서울 강남구 테헤란로1길 19,0507-1418-3471,"무선 인터넷, 포장, 남/녀 화장실 구분, 단체 이용 가능, 예약",,"매일
11:00 - 24:00","럭키봉봉
3,000원; A세트
점심세트
24,000원; B세트
점심세트
36,000원; C세트
점심세트
48,000원"
6,베트남이랑,1890424195,베트남음식,서울 서초구 서초대로77길 15 대경빌딩 지하 1층,0507-1383-1438,예약,"맛있는녀석들 327회, 21.05.28.
2021년 5월 28일
 베트남음식; 생방송투데이 2384회, 19.08.05.
2019년 8월 5일
 베트남음식","매일
11:00 - 23:00","소고기 쌀국수
9,500원; 우삼겹 쌀국수
11,000원; 파타이
13,000원; 스테이크 덮밥
15,000원; 반세오(2pcs)
13,000원; 스프링롤(2pcs)
5,000원; 해산물튀김면
15,000원; 소고기튀김면
15,000원; 나시고랭
12,000원; 야채볶음밥
10,000원; 해산물볶음밥
11,000원; 소고기볶음밥
11,000원; 분보싸오(비빔국수)
12,000원; 모듬대창쌀국수
18,000원; 모닝글로리(공심채)
9,000원; 돼지고기 반미
7,500원; 짜죠
5,000원; 치즈짜죠
6,500원; 반컷(16pcs)
25,000원; 똠양쌀국수
12,000원; 모듬곱창국밥
15,000원; 모듬대창국밥
18,000원; 얼큰해산물쌀국수
12,000원; 왕갈비쌀국수
18,000원; 뼈쌀국수
12,000원; 얼큰해장국밥
11,000원; 곱창전골(소)
25,000원; 곱창전골(대)
30,000원; 가리비구이
25,000원; 꼬막볶음
18,000원; 꼬막
18,000원; 소시지 반미
7,500원; 반세오세트
23,000원; 반컷세트
25,000원; 새우튀김
7,500원; 반권
14,000원; 분다우맘떰
22,000원; 망고한접시
10,000원; 망고육포샐러드
15,000원; 야채튀김면
12,000원; 야채볶음면
10,000원; 소고기볶음면
12,000원; 해산물볶음면
12,000원; 등갈비덮밥
13,000원; 흑돼지튀김덮밥
12,000원; 닭날개덮밥
12,000원; 왕갈비수육
35,000원; 등갈비 숯불구이
불맛 가득한 숯불에 구운 등갈비
25,000원; 소고기숯불구이
20,000원; 승스안(뼈찜)매운맛
35,000원; 닭날개볶음
15,000원; 닭목살볶음
17,000원; 레몬그라스 닭똥집튀김
15,000원; 흑돼지튀김월남쌈
25,000원; 갈릭크랩(3마리)
25,000원; 타마린크랩(3마리)
25,000원; 코코넛크랩(3마리)
25,000원; 갈릭왕새우
29,000원; 타마린왕새우
29,000원; 코코넛왕새우
29,000원; 오징어볶음
16,000원; 해산물볶음
25,000원; 소주
5,000원; 병맥주
5,000원; 하노이비어
6,000원; 사이공비어
6,000원; 타이거
6,000원; 산미구엘
6,000원; 333(캔맥주)
5,000원"
7,진대감 강남역 삼성타운점,870437247,소고기구이,서울 서초구 서초대로78길 50 우영빌딩,02-587-0073,"예약, 단체 이용 가능, 주차, 포장, 무선 인터넷, 남/녀 화장실 구분, 장애인 편의시설",,"토
11:30 - 21:00
20:30 라스트오더; 일
11:30 - 21:00
20:30 라스트오더; 월
11:00 - 22:00
15:00 - 17:00 브레이크타임
21:30 라스트오더; 화
11:00 - 22:00
15:00 - 17:00 브레이크타임
21:30 라스트오더; 수
11:00 - 22:00
15:00 - 17:00 브레이크타임
21:30 라스트오더; 목
11:00 - 22:00
15:00 - 17:00 브레이크타임
21:30 라스트오더; 금
11:00 - 22:00
15:00 - 17:00 브레이크타임
21:30 라스트오더; 09/17 추석 휴무","한우차돌박이
고소하고 쫄깃한 한우 1등급이상 차돌박이
29,000원; 한우꽃게된장찌개
한우와 꽃게장이 들어가 풍부한 맛이 일품인 한우꽃게된장찌개
12,000원; 한우차돌짬뽕라면
진대감 특제 짬뽕양념맛이 돋보이는 한우차돌짬뽕라면
10,000원; 시원한묵사발
살얼음이 동동 속까지 시원한 육수에 찰진 도토리묵이 들어간 시원한 묵사발
8,000원; 구수한누룽지
구수한 맛이 끝내주는 누룽지
8,000원; 날치알볶음밥
잘익은 묵은지와 톡톡씹히는 날치알이 듬뿍 들어간 날치알볶음밥
6,000원; 眞설렁탕
10,000원; 眞설렁탕(특)
12,000원; 한우해장국
12,000원; 왕갈비탕
20,000원; 사골떡만두국
10,000원; 함흥물냉면
12,000원; 함흥비빔냉면
12,000원; 왕만두
8,000원; 생관자
15,000원; 누룽지 계란찜
6,000원; 콩나물찜
6,000원; 차돌초밥용 밥
5,000원"
8,은행골 강남역점,1880609487,"초밥,롤",서울 서초구 서초대로75길 34 3층 은행골,02-592-4988,"남/녀 화장실 구분, 예약, 포장, 단체 이용 가능",,"토
11:00 - 22:30; 일
정기휴무 (매주 일요일); 월
11:00 - 22:30; 화
11:00 - 22:30; 수
11:00 - 22:30; 목
11:00 - 22:30; 금
11:00 - 22:30","특미초밥
연어3,찐새우3,아까미2,문어2,이까2
12,000원; 도로초밥set 12pcs
29,000원; 활어초밥 12pcs
18,000원; 연어초밥 12pcs
17,000원; (반반초밥)활어+연어12pcs
활어6pcs,연어6pcs
18,000원; (반반초밥)도로+연어12pcs
도로6pcs,연어6pcs
23,000원; (반반초밥)도로+활어12pcs
도로6pcs,활어6pcs
24,000원; 가마도로
36,000원; 배꼽살
36,000원; 오도로
34,000원; 쥬도로
32,000원; 풀코스(4인)
190,000원; 반코스(2인)
130,000원; 낱개초밥 쥬도로
3,000원; 낱개초밥 장어
3,000원; 낱개초밥 엔가와
3,000원; 낱개초밥 장새우
2,500원; 낱개초밥 찐새우
1,500원; 낱개초밥 활어
2,000원; 낱개초밥 연어
1,800원; 계란
1,500원"
9,미도인 강남,1427134948,일식당,서울 강남구 강남대로102길 16 지상 2층,0507-1441-2065,"단체 이용 가능, 무선 인터넷, 포장, 배달, 남/녀 화장실 구분",,"매일
11:30 - 21:00","우니스테이크덮밥 한상차림
신선하고 녹진한 바다의 맛이 일품인 우니와 미도인 스테이크의 만남. 입안에서 녹을지 몰라요
19,800원; 단새우스테이크 덮밥 한상차림
동해안 단새우,서해안 생감태, 미도인 스테이크의 특별한 만남 반해버릴 그맛의 한상차림
16,800원; 큐브스테이크 한상차림
미도인의 인기덮밥 메뉴! 부드러운 육즙의 숙성스테이크와 특제 단짠 소스로 만든 한상차림
13,800원; 곱창&대창 덮밥 한상차림
깔끔하고,쫄깃한 소곱창과 고소한 대창이 햅쌀밥 위에 올라간 든든한 덮밥 한상차림
15,800원; 가정식 등심 스테이크
등심 스테이크와 진한 육수로 우려낸 단호박 스프, 아지다마고의 한상 차림
16,800원; 등심 트리플스테이크
부드러운 육즙의 스테이크, 메쉬 포테이토와 대파,특제 와인소스의 세상에 없는 환상적인 조화
17,800원; 대창 등심스테이크
대창과 부드러운 육즙의 등심 스테이크,과감하지만 멋진 콜라보
19,700원; 곱창 등심스테이크(한정메뉴)
특제 소스로 12시간 저온 숙성한 소곱창과 부드러운 육즙의 스테이크,오직 미도인 만이 구현
20,700원; 화산 불백 덮밥
불맛 나는 돼지고기를 화산 모양으로 형상화한 비쥬얼 갑 강추 덮밥
9,500원; 곱창 대창 덮밥(한정메뉴)
미도인의 특별한 저온 숙성 방법과 매콤한 한국식 특제 소스를 곁들인 대한민국 최초 곱대덮밥
13,900원; 큐브 스테이크 덮밥
부드러운 육즙의 숙성 스테이크와 특제 단짠 소스로 만든 스테이크 덮밥
11,500원; 대창 덮밥
말이 필요없는 맛!! 잘 손질된 대창을 매콤한 특제 양념과 불맛 나게 볶아낸 특별 덮밥
12,500원; 대창 큐브 스테이크 덮밥(대큐)
스테이크와 대창을 함께 즐길수 있는 미도인만의 특별한 콜라보 메뉴
14,800원; 명란 크림 파스타
깔끔한 명란 크림소스! 특제 스파이시 첨가로 더욱 특별한 미도인만의 특제 파스타
12,800원; 새우 로제 생면 파스타
깔끔하고 부드러운 로제크림소스! 특제 스파이시 소스와 탱글한 새우의 환상 조화!
13,800원; 바질크림 새우파스타
두근 두근.. 초록의 바질 페스토 크림 소스에 빠진 큼직한 새우와 베이컨칩의 환장 조합!
14,800원; 청두 사천 탄탄멘
사천식으로 만든 매콤한 참깨돈골 육수와 매장에서 직접 만든 탄면장을 얹은 전통 탄탄멘
8,800원; 미도인 우육면
국물요리에 지평을 연 묵직하고 깔끔한 국물이 일품인 소고기 듬뿍 미도인만의 우육탕면
9,900원; 미도인 곱창 라멘(한정메뉴)
부드러우면서 쫄깃한 곱창의 식감과 얼큰 시원한 미도인 만의 특별라멘
12,800원; 미도인 마제소바
특제소스에 돼지고기 민찌를 볶아 고기고명과 부추,대파,김가루를 함께 비벼먹는 일본식 비빔면
9,800원; 곱대 마제소바
말이 필요없는 미도인의 곱창 대창 볶음이 올라간 오직 미도인만의 시그니처 마제소바
13,800원; 미도인 가케소바
진한 가쓰오부시의 풍미가 살아있는 시원한 육수와 국내산 메밀의 고소함과 건강한 맛이 일품
9,500원; 미도인 우실장 떡볶이
미도인 총괄셰프의 특제소스와 돼지고기, 대파가 듬뿍 들어간 약빤메뉴(마라맛첨가)
9,500원; 미도인 곱창 떡볶이 (한정메뉴)
미도인 총괄셰프의 매콤 특제소스, 소곱창과 쫄깃한 떡의 하모니 특별 곱떡 메뉴(마라맛첨가)
13,900원; 미도인 스카치 에그 (한정메뉴)
15번의 조리 과정을 거쳐, 반숙 계란을 다진고기로 감싸 튀겨낸 초 울트라 강추 한정메뉴
4,800원; 찹쌀치즈볼
다들 아는 그맛인데 왜 질리지 않을까? 주문하면 확인가능!!
4,800원; 새우커틀렛
통새우가 듬뿍 들어가 식감도 좋고 맛도 좋은 새우 커틀렛
7,200원; 마리네이드 토마토 사라다
쉐프의 한땀한땀 정성으로 껍질을 벗겨 만든 마리네이드 방울토마토와 스테이크를 올린 샐러드
6,500원; 음료/주류
자몽허니에이드, 애플시나몬에이드, 체리벵쇼, 제로콜라, 콜라, 사이다, 병맥주
2,800~5,000원"
