name,store_id,category,address,tel,options,amenity,broadcast,business_hours,menu
춘천한옥집,37021055,한식,서울 강남구 강남대로102길 29 지하1층,0507-1400-5324,강남바베큐 부드러운 텍사스 bbq 맛집,"배달, 포장, 무선 인터넷, 남/녀 화장실 구분, 단체 이용 가능, 유아의자",,"수
11:30 - 22:00
16:00 - 17:00 브레이크타임
21:00 라스트오더; 목
11:30 - 22:00
16:00 - 17:00 브레이크타임
21:00 라스트오더; 금
11:30 - 22:00
16:00 - 17:00 브레이크타임
21:00 라스트오더; 토
11:30 - 22:00
21:00 라스트오더; 일
11:30 - 22:00
21:00 라스트오더; 월
11:30 - 22:00
16:00 - 17:00 브레이크타임
21:00 라스트오더; 화
11:30 - 22:00
16:00 - 17:00 브레이크타임
21:00 라스트오더","치즈닭갈비
대표
강남역 맛집 대표메뉴 치즈닭갈비
14,000원; 가래떡치즈닭갈비
16,000원; 닭갈비
강남역 맛집 춘천한옥집 닭갈비
12,000원; 수제生감자채전(한정판매)
강남역 맛집 수제생감자채전
9,000원; 춘천볶음밥
강남역 맛집 춘천볶음밥
3,000원; 볶음밥 누룽지 추가
강남역 맛집 춘천볶음밥 누릉지추가
2,000원"
고베규카츠 서울 강남점,254171411,돈가스,서울 강남구 강남대로102길 29 예촌빌딩,0507-1443-4620,,"무선 인터넷, 남/녀 화장실 구분, 포장, 배달, 예약",,"수
11:30 - 22:00
16:00 - 17:00 브레이크타임
21:00 라스트오더; 목
11:30 - 22:00
16:00 - 17:00 브레이크타임
21:00 라스트오더; 금
11:30 - 22:00
16:00 - 17:00 브레이크타임
21:00 라스트오더; 토
11:30 - 22:00
21:00 라스트오더; 일
11:30 - 22:00
21:00 라스트오더; 월
11:30 - 22:00
16:00 - 17:00 브레이크타임
21:00 라스트오더; 화
11:30 - 22:00
16:00 - 17:00 브레이크타임
21:00 라스트오더","규카츠 정식 소 (160g)
대표
규카츠 정식(중) 220g 24,000원 규카츠 정식(대) 300g 31,000원
19,000원; 리얼치즈카츠정식
대표
통모짜렐라를 얇은 돈등심으로 감싸 빵가루에 묻혀 튀겨낸 리얼 치즈카츠 정식!
22,000원; 스테이크 덮밥
대표
부드러운 소고기 등심 부위에 바다향 가득한 퓨전 일본식 덮밥!
15,000원; 커리크림우동
대표
매콤한 일본식 커리우동에 고베규카츠만의 특제 크림 소스를 더한 치명적인 맛!
14,000원; 불닭크림볶음면
대표
특제소스로 맛을 낸 일본식 불닭 볶음면에 노~란 크림 소스를 더해 매콤하지만 부드러운 볶음라멘!
14,000원; 부채살정식 중
24,000원; 부채살정식 대
31,000원; 살치살정식 중
38,000원; 살치살정식 대
49,000원; 우삼겹덮밥
12,000원; 규카츠 소바
일본 정통 방식 섬세함을 더한 진한 풍미의 소바, 육즙 가득한 규카츠와 부드러운 반숙 계란을 더한 상상 이상의 클라스!
16,000원; 새우 삼겹 덮밥
고소한 우삼겹에 탱글탱글 새우, 거기에 일본식 특제소스와 불맛까지 더한 강력 추천메뉴
12,000원; 치킨마요덮밥
치킨가라아게와 특제소스 마요드레싱과 덮밥소스를 뿌린 후 비벼 먹는 맛이 일품!
11,000원; 다시계란
고소한 계란에 가쓰오 소스를 더한 소스! 규카츠와 함께하면 더 맛있습니다.
1,000원; 멜팅치즈볼
달콤하고 푹신한 반죽안에 진한 치즈가 듬뿍!
5,000원; 가라아게
바삭한 튀김에 촉촉한 순살 치킨을 동시에 즐길 수 있는 인기만점 메뉴!
5,000원"
을지다락 강남,1483096423,양식,서울 강남구 강남대로96길 22 2층,0507-1343-9474,강남역 을지다락 깔끔한 분위기의 파스타,"단체 이용 가능, 무선 인터넷, 남/녀 화장실 구분, 포장, 배달, 유아의자, 예약, 간편결제",,"수
11:30 - 21:15
15:10 - 16:30 브레이크타임
14:25, 20:30 라스트오더; 목
11:30 - 21:15
15:10 - 16:30 브레이크타임
14:25, 20:30 라스트오더; 금
11:30 - 21:15
15:10 - 16:30 브레이크타임
14:25, 20:30 라스트오더; 토
11:30 - 21:15
20:30 라스트오더; 일
11:30 - 21:15
20:30 라스트오더; 월(9/16)
추석 연휴11:30 - 21:15; 화(9/17)
11:30 - 21:10
15:10 - 16:30 브레이크타임","다락오므라이스
대표
유럽식 스타일의 볶은 밥, 부드러운 일본식 오믈렛 그리고 다락 수제 오므라이스 소스
16,000원; 다락로제파스타
대표
매콤한 다락 수제 미트소스와 달달한 생크림 그리고 그라나파다노 치즈가 들어간 파스타
18,000원; 찹목살스테이크
대표
그릴드 목살, 그릴드 베지터블, 메시 포테이토와 스테이크 소스
22,000원; 게살매콤리조또
대표
고추기름으로 볶아낸 야채와 신선한 게살로 맛을 낸 리조또
18,000원; 가츠산도
대표
육즙 가득한 로스가츠로 만든 일본식 샌드위치
12,000원; 옥수수뇨끼
대표
수제로 만든 옥수수 퓨레와 크림을 활용한 뇨끼
18,000원; 얼그레이하이볼
대표
8,900원; 다락에이드_파인애플
대표
파인애플 모양의 귀여운 잔으로 제공되는, 파인애플 에이드
6,900원; 매콤크림파스타
세 가지 치즈, 크림 소스 그리고 매콤한 향신료
18,000원; 차돌박이들깨파스타
차돌박이, 들깨가루, 깻잎으로 맛을 낸 독특한 오일파스타
18,000원; 납작까르보나라파스타
넓은 파케리면과 베이컨, 트러플, 크림소스 까르보나라
18,000원; 크림어니언감자튀김
크림 어니언 소스와 베이컨이 올라간 감자튀김
10,000원; 트러플감자튀김
트러플 오일과 꿀로 맛을 낸 심플한 감자튀김
10,000원; 을지에이드_레몬
색감이 예쁜 레몬에이드
6,900원; 강남에이드_유자
예쁜 핑크톤의 유자에이드
6,900원; 코카콜라
3,500원; 제로콜라
3,500원; 스프라이트
3,500원"
이자카야 공감 강남역점,1252683665,이자카야,서울 서초구 강남대로65길 7 피렌체빌딩2층,0507-1382-6618,,"예약, 단체 이용 가능, 무선 인터넷",,"수
16:30 - 01:30; 목
16:30 - 01:30; 금
16:30 - 03:00; 토
16:30 - 03:00; 일
16:30 - 01:30; 월
16:30 - 01:30; 화
16:30 - 01:30","공감모듬사시미
38,000원; 나가사끼 짬뽕나베
25,000원; 김치카츠나베
24,000원; 해물누룽지나베
25,000원; 일본식 대창구이
25,000원; 한우스지수육
26,000원; 메로소금구이
26,000원; 모찌리도후
10,000원"
온센 강남점,1250740851,일식당,서울 서초구 서초대로73길 42 리가스퀘어 1층 111호,02-599-2958,백종원의 골목식당에 나온 텐동 맛집,"주차, 단체 이용 가능, 포장",,"매일
11:30 - 21:30
15:30 - 16:30 브레이크타임
15:00, 21:00 라스트오더","온센텐동
대표
새우1/온센타마고1/김1/단호박1/느타리버섯1/가지1/꽈리고추1
10,900원; 아나고텐동
대표
아나고1/새우1/온센타마고1/김1/단호박1/느타리버섯1/가지1/꽈리고추1/연근1
16,900원; 버섯텐동
온센타마고1/김1/새송이버섯1/양송이버섯1/표고버섯2/팽이버섯1/느타리버섯1/꽈리고추1
9,900원; 에비텐동
새우4/온센타마고1/김1/꽈리고추1
14,900원; 이까텐동
갑오징어1/오징어 몸채1/오징어 다리1/새우1/온센타마고1/김1/단호박1/꽈리고추1
15,900원; 가라아게텐동
닭튀김10/타마고1/꽈리고추4
15,900원; 멘치카츠동
치즈1/맨치2/꽈리고추1/김1/타마고1
14,900원; 에비카레
새우튀김과 온센만의 특제카레
10,900원; 부타카츠 카레
삼겹살 카츠와 온센만의 특제카레
12,900원; 카모카츠 카레(오리)
오리가슴살 튀김과 온센만의 특제카레
13,900원; 마제 우동
볶은 돼지고기와 가쓰오부시, 목이버섯 등을 비벼 먹는 우동
8,900원; 온센 소바
온센 특제소스로 맛을 낸 시원한 메밀 소바
8,900원; 온센 우동
새우튀김과 유부를 얹어 깔끔한 맛을 낸 우동
8,900원; 온센 코울슬로
고소하고 상큼한 온센만의 소스로 맛을 낸 코울슬로
1,900원; 가라아게
온센만의 양념으로 맛을 낸 일본식 닭튀김
4,500원; 닭껍질교자
닭껍질안에 만두를 빚어 튀긴 닭껍질 만두
4,900원; 오키나와
7,000원; 테라 생맥주
4,500원; 하이볼
7,900원; 에이드(레몬,망고,오렌지,청포도)
4,500원; 콜라/사이다/제로콜라
3,000원"
베트남이랑,1890424195,베트남음식,서울 서초구 서초대로77길 15 대경빌딩 지하 1층,0507-1383-1438,,예약,"맛있는녀석들 327회, 21.05.28.
2021년 5월 28일
 베트남음식; 생방송투데이 2384회, 19.08.05.
2019년 8월 5일
 베트남음식","매일
11:00 - 23:00","모듬쌀국수
대표
12,000원; 모듬곱창쌀국수
대표
15,000원; 소고기 반미
대표
싱싱한 채소 속에 소고기 풍덩 빠진 반미샌드위치
8,000원; 분짜
대표
정통 하노이식 분짜
12,000원; 반세오(4pcs)
대표
21,000원; 반컷(8pcs)
대표
15,000원; 승스안(뼈찜)
대표
35,000원; 소고기 쌀국수
9,500원; 우삼겹 쌀국수
11,000원; 파타이
13,000원; 스테이크 덮밥
15,000원; 반세오(2pcs)
13,000원; 스프링롤(2pcs)
5,000원; 해산물튀김면
15,000원; 소고기튀김면
15,000원; 나시고랭
12,000원; 야채볶음밥
10,000원; 해산물볶음밥
11,000원; 소고기볶음밥
11,000원; 분보싸오(비빔국수)
12,000원; 모듬대창쌀국수
18,000원; 모닝글로리(공심채)
9,000원; 돼지고기 반미
7,500원; 짜죠
5,000원; 치즈짜죠
6,500원; 반컷(16pcs)
25,000원; 똠양쌀국수
12,000원; 모듬곱창국밥
15,000원; 모듬대창국밥
18,000원; 얼큰해산물쌀국수
12,000원; 왕갈비쌀국수
18,000원; 뼈쌀국수
12,000원; 얼큰해장국밥
11,000원; 곱창전골(소)
25,000원; 곱창전골(대)
30,000원; 가리비구이
25,000원; 꼬막볶음
18,000원; 꼬막
18,000원; 소시지 반미
7,500원; 반세오세트
23,000원; 반컷세트
25,000원; 새우튀김
7,500원; 반권
14,000원; 분다우맘떰
22,000원; 망고한접시
10,000원; 망고육포샐러드
15,000원; 야채튀김면
12,000원; 야채볶음면
10,000원; 소고기볶음면
12,000원; 해산물볶음면
12,000원; 등갈비덮밥
13,000원; 흑돼지튀김덮밥
12,000원; 닭날개덮밥
12,000원; 왕갈비수육
35,000원; 등갈비 숯불구이
불맛 가득한 숯불에 구운 등갈비
25,000원; 소고기숯불구이
20,000원; 승스안(뼈찜)매운맛
35,000원; 닭날개볶음
15,000원; 닭목살볶음
17,000원; 레몬그라스 닭똥집튀김
15,000원; 흑돼지튀김월남쌈
25,000원; 갈릭크랩(3마리)
25,000원; 타마린크랩(3마리)
25,000원; 코코넛크랩(3마리)
25,000원; 갈릭왕새우
29,000원; 타마린왕새우
29,000원; 코코넛왕새우
29,000원; 오징어볶음
16,000원; 해산물볶음
25,000원; 소주
5,000원; 병맥주
5,000원; 하노이비어
6,000원; 사이공비어
6,000원; 타이거
6,000원; 산미구엘
6,000원; 333(캔맥주)
5,000원"
장인닭갈비 강남점,37792495,닭갈비,서울 강남구 테헤란로1길 19,0507-1418-3471,강남역 맛집 순수 모짜렐라 치즈를 사용한 맛있는 장인닭갈비,"무선 인터넷, 포장, 남/녀 화장실 구분, 단체 이용 가능, 예약",,"매일
11:00 - 24:00","장인 닭갈비
대표
강남역맛집 장인닭갈비를 대표하는 시그니처 메뉴 장인닭갈비입니다.
12,000원; 치즈 닭갈비
대표
순한맛, 매콤한맛, 매운맛 선택 가능합니다. 주문 즉시 주방에서 조리가 시작되며 가장 맛있는 상태에서 바로 드실 수 있도록 조리되어 나옵니다.
14,000원; 장인볶음밥
대표
식사를 마친 후 남은 닭갈비로 만든 볶음밥은 최고의 후식입니다.
3,000원; 럭키봉봉
3,000원; A세트
점심세트
24,000원; B세트
점심세트
36,000원; C세트
점심세트
48,000원"
진대감 강남역 삼성타운점,870437247,소고기구이,서울 서초구 서초대로78길 50 우영빌딩,02-587-0073,,"예약, 단체 이용 가능, 주차, 포장, 무선 인터넷, 남/녀 화장실 구분, 장애인 편의시설",,"수
11:00 - 22:00
15:00 - 17:00 브레이크타임
21:30 라스트오더; 목
11:00 - 22:00
15:00 - 17:00 브레이크타임
21:30 라스트오더; 금
11:00 - 22:00
15:00 - 17:00 브레이크타임
21:30 라스트오더; 토
11:30 - 21:00
20:30 라스트오더; 일
11:30 - 21:00
20:30 라스트오더; 월(9/16)
추석 연휴11:30 - 21:00; 화(9/17)
추석 휴무","한우차돌삼합
대표
한우 1등급이상의 차돌박이와 서해안 키조개 관자, 그리고 곁들임 찬 세 가지 합
29,000원; 한우투뿔모듬(No.9)
대표
모든 부위가 한우 등급 중에서도 최고 등급 No.9으로 구성된 한우투뿔모듬 400g
119,000원; 한우파김치전골
대표
한우 등심과 해산물, 그리고 진한 김치 국물이 일품인 전골요리
55,000원; 한우차돌박이
고소하고 쫄깃한 한우 1등급이상 차돌박이
29,000원; 점심)한우꽃게된장찌개밥상
한우와 직접 담근 꽃게장의 구수한 맛이 어우러져 깊고 풍부한 맛이 일품인 된장찌개
12,000원; 점심)한돈파김치전골밥상
국내산 돼지고기와 파김치 각종 해산물을 넣어 진한 국물이 인상적인 일품 전골요리
11,000원; 점심)벌교꼬막비빔밥상
국내산 벌교 꼬막을 진대감 특제 양념에 버무린 매콤한 꼬막비빔밥
11,000원; 점심)한우차돌짬뽕라면밥상
한우 차돌박이와 시원한 해산물이 만나 진대감에서만 맛볼 수 있는 얼큰 한우차돌짬뽕라면
10,000원; 점심)갓김치물냉면반상
(한정판매) 갓김치와 시원한 살얼음 냉면 육수가 만나, 속까지 개운해지는 갓김치 물냉면
10,000원; 점심)갓김치비빔냉면반상
(한정판매) 진대감 특제 양념과 갓김치가 어우러져 더욱 특별해진 갓김치 비빔냉면
10,000원; 한우꽃게된장찌개
한우와 꽃게장이 들어가 풍부한 맛이 일품인 한우꽃게된장찌개
12,000원; 벌교꼬막비빔밥
국내산 벌교 꼬막을 진대감 특제 양념에 버무린 매콤한 꼬막비빔밥
11,000원; 한우차돌짬뽕라면
진대감 특제 짬뽕양념맛이 돋보이는 한우차돌짬뽕라면
10,000원; 갓김치물냉면
갓김치와 시원한 살얼음 냉면 육수가 만나, 속까지 개운해지는 갓김치 물냉면
10,000원; 갓김치비빔냉면
진대감 특제 양념과 갓김치가 어우러져 더욱 특별해진 갓김치 비빔냉면
10,000원; 구수한누룽지
구수한 맛이 끝내주는 누룽지
8,000원; 날치알볶음밥
잘익은 묵은지와 톡톡씹히는 날치알이 듬뿍 들어간 날치알볶음밥
6,000원; 생관자
15,000원; 누룽지 계란찜
6,000원; 차돌초밥용 밥
5,000원"
우된장 교대본점,1530031734,한식,서울 서초구 서초중앙로26길 11 1층 101호,0507-1373-0623,,"단체 이용 가능, 포장, 배달, 예약, 무선 인터넷, 남/녀 화장실 구분, 유아의자, 대기공간, 주차",,"수
11:00 - 22:00
15:00 - 17:00 브레이크타임
20:50 라스트오더; 목
11:00 - 22:00
15:00 - 17:00 브레이크타임
20:50 라스트오더; 금
11:00 - 22:00
15:00 - 17:00 브레이크타임
20:50 라스트오더; 토
11:00 - 22:00
15:00 - 17:00 브레이크타임
20:50 라스트오더; 일
11:00 - 22:00
15:00 - 17:00 브레이크타임
20:50 라스트오더; 월(9/16)
추석 연휴 휴무; 화(9/17)
추석 휴무; 09/16-09/18 추석 연휴 휴무","한우곱창된장전골 세트
대표
한우곱창된장전골+미나리새우전+전골사리
48,000원; 우삼겹오징어한판 세트
대표
우삼겹오징어한판+계란말이+차돌된장찌개(해물된장찌개)
48,000원; 우삼겹오징어 한판(소)
대표
오징어와 우삼겹을 동시에 즐길 수 있는 우된장 시그니처 메뉴
36,000원; 한우곱창된장전골(소)
대표
얼큰한 된장육수에 우삼겹말이와 한우곱창을 넣은 우된장 시그니처 전골
36,000원; 차돌된장+우삼겹 정식
대표
11,900원; 강된장+고등어 정식
대표
12,500원; 청국장+코다리조림 정식
대표
14,500원; 해물된장+소갈비찜 정식
대표
15,900원; 막국수+우삼겹 정식
13,900원; 계란말이
9,000원; 치즈계란말이
11,000원; 새우미나리전
13,000원; 미나리볶음밥
4,000원; 치즈미나리볶음밥
6,000원"
은행골 강남역점,1880609487,"초밥,롤",서울 서초구 서초대로75길 34 3층 은행골,02-592-4988,은행골 강남역 초밥 먹고 왔어요 강남역 스시,"남/녀 화장실 구분, 예약, 포장, 단체 이용 가능",,"수
11:00 - 22:30; 목
11:00 - 22:30; 금
11:00 - 22:30; 토
11:00 - 22:30; 일
정기휴무 (매주 일요일); 월
11:00 - 22:30; 화
11:00 - 22:30","특진초밥
대표
도로3,장새우2,엔까와2,장어2,연어3
22,000원; 특선초밥
대표
광어3,연어3,장새우2,장어2,이까2
17,000원; 특미초밥
연어3,찐새우3,아까미2,문어2,이까2
12,000원; 도로초밥set 12pcs
29,000원; 활어초밥 12pcs
18,000원; 연어초밥 12pcs
17,000원; (반반초밥)활어+연어12pcs
활어6pcs,연어6pcs
18,000원; (반반초밥)도로+연어12pcs
도로6pcs,연어6pcs
23,000원; (반반초밥)도로+활어12pcs
도로6pcs,활어6pcs
24,000원; 가마도로
36,000원; 배꼽살
36,000원; 오도로
34,000원; 쥬도로
32,000원; 풀코스(4인)
190,000원; 반코스(2인)
130,000원; 낱개초밥 쥬도로
3,000원; 낱개초밥 장어
3,000원; 낱개초밥 엔가와
3,000원; 낱개초밥 장새우
2,500원; 낱개초밥 찐새우
1,500원; 낱개초밥 활어
2,000원; 낱개초밥 연어
1,800원; 계란
1,500원"
