name,store_id,category,address,tel,options,amenity,broadcast,business_hours,menu
경복 냉삼 선정릉역본점,1034438046,"육류,고기요리",서울 강남구 언주로108길 12 1층 102호,0507-1395-2441,,"주차, 발렛파킹",,"토
16:00 - 00:40; 일
15:00 - 21:40; 월
16:00 - 00:40; 화
16:00 - 00:40; 수
16:00 - 00:40; 목
16:00 - 00:40; 금
16:00 - 00:40","미나리 냉삼
대표
100% 국내산! 당일 도축! 냉동 7일 미만 프리미엄 1등급 보성녹돈 삼겹살 & 미나리
18,000원; 냉동 삼겹살
100% 국내산! 당일 도축! 냉동 7일 미만 프리미엄 녹차먹인 1등급 보성녹돈 삼겹살
15,000원; 생 삼겹살
100% 국내산! 녹차먹인 1등급 보성녹돈 웰빙 생삼겹살로 육즙 가득~ 쫄깃 담백한 맛
18,000원; 경복 위드두루미(약주)
경복 약주 구매링크https://naver.me/xRP4qq4T 맛보시면 계속 찾으십니다
35,000원; 준마이 경복
59,000원; 미나리 생삼
100% 국내산! 녹차먹인 1등급 보성녹돈 웰빙 생삼겹살의 쫄깃한 맛과 미나리 향까지!
20,000원; 참다랑어 참치회
생활의달인 참치회 선정, 오마카세스시 일식당 26년 경력 셰프의 고급 참치회를 저렴하게!
39,000원; 한우 1++ 생 차돌박이 사시미
입에 넣자마자 살살 녹는 한우 1++ 생 차돌 사시미! 직접 만든 특제 양념 소스까지!
30,000원; 한우1++ 차돌박이
한우1++ 생차돌박이 바로 급랭한 신선한 차돌구이 130g
24,000원; 통밀 매콤 비빔면
미슐랭1스타 윤서울의 순수 자가제면 유기농 통밀면 & 경복에서 직접 만든 매콤 비빔양념
9,000원; 통밀 들기름면
미슐랭1스타 윤서울의 순수 자가제면 유기농 통밀면 & 경복만의 들기름면 레시피 노하우
9,000원; 꽃게 순두부 된장찌개
순두부와 꽃게, 호박 등이 들어간 구수한 된장찌개! 고기와 찰떡 궁합 메뉴
7,000원; 수제 고추장 돼지찌개
경복에서 직접 만든 필살기 고추장을 사용해 더욱 맛있는 매콤 고추장찌개 술밥! 고기 듬뿍
9,000원; 키조개 관자+표고버섯
차돌박이 및 냉삼과 함께 곁들여 삼합으로 먹으면 좋아요!
14,000원"
봉우화로,11609540,"육류,고기요리",서울 강남구 봉은사로18길 76 스타 팰리스,0507-1375-8452,,"예약, 단체 이용 가능, 남/녀 화장실 구분, 무선 인터넷, 간편결제, 주차","2TV저녁생생정보 100회, 15.06.29.
2015년 6월 29일
 ; 굿모닝대한민국 577회, 13.08.13.
2013년 8월 13일
 가위냉면","매일
11:30 - 23:00
22:20 라스트오더","우삼겹 150g
소고기 양념 삼겹살
12,000원; 생 삼겹살 150g
13,000원; 이베리코 목살 150g
13,000원; 갈비살 150g
미국산
16,000원; 한우 투뿔등심 150g
45,000원; 버섯세트
5,000원; 차돌된장찌개(공기밥별도)
5,000원; 초밥(6 pcs)
3,000원; 우밥(우삼겹+날치알+무채비빔밥)
5,000원; 차돌된장찌개+무채 비빔밥
7,000원; 우밥세트(우밥+차돌된장찌개)
7,000원; 신(辛)항아리가위냉면
물냉면과 비빔냉면을 함께 맛볼수있는 특별한 메뉴입니다
8,000원; 물냉면
함흥식 물냉면으로 동치미육수를 사용하여 소화가 잘되며 속이 시원합니다
8,000원; 비빔냉면
8,000원; 소고기 무국(월~금)
11:30~15:00
6,000원; 무채 비빔밥+차돌된장찌개
11:30~15:00
7,000원; 돌솥 비빔밥
11:30~15:00
8,000원; 봉우수제왕만두
4,000원"
백운축산 꽃갈비 강남점,1344892155,"육류,고기요리",서울 강남구 강남대로98길 16 파빌리온빌딩 1층,0507-1465-7559,,"단체 이용 가능, 예약, 무선 인터넷, 대기공간, 남/녀 화장실 구분, 유아의자, 포장",,"매일
11:00 - 23:00
22:30 라스트오더","백운_꽃갈비-500g
대표
직접 선별한 소갈비에서 6,7,8번 대 갈비 만을 정형하여 내어드립니다.
75,000원; 백운_꽃갈비 1000g
대표
직접 선별한 소갈비에서 6,7,8번 대 갈비 만을 정형하여 내어드립니다.
145,000원; 꽃갈비500g+갈비주물럭500g_세트
대표
131,000원; 꽃갈비300g+갈비주물럭200g_세트
75,000원; 꽃갈비500g+한우생육회_세트
97,000원; 백운_주물럭500g+한우생육회_세트
79,000원; 백운_갈비주물럭500g
깍둑갈비살과 안창살, 소갈비살을 주물럭으로 내어드립니다.
59,000원; 의성 마늘 깍둑갈빗살_160g
소갈비의 특수한 부위와 수제양념이 만났다?!
20,000원; 의성마늘 안창살_160g
직접 선별한 소고기 안창살을 수제 양념하여 내어드립니다.
22,000원; 의성 마늘 소갈비살_160g
직접 선별한 소고기 갈비살을 수제 양념하여 내어드립니다.
19,000원; 토종 한우 생육회_150g
한우 1++등급을 정형하여 경기도식 육회로 내어드립니다.
25,000원; 백운_갈비김치볶음밥
9,000원; 백운_김치말이국수
시원한 김치말이국수
7,500원; 보슬 계란찜
4,000원; 달콤_파인샤베트
시원달달 입가심!
7,000원; 피로회복_당충전 황깐이
최고의 술안주
9,000원; 백운_물/비빔냉면
백운 수제 양념으로 시원한 살얼음 물냉면과 매운비빔냉면
7,000원; 백운_산토리하이볼
7,000원; 백운_쌩맥주
2,800원"
딸부자네불백 역삼점,30982229,"육류,고기요리",서울 강남구 테헤란로47길 8,02-563-9275,,"주차, 포장, 배달, 남/녀 화장실 구분, 무선 인터넷",,"매일
11:00 - 20:30
20:00 라스트오더","딸불백
대표
9,000원; 차돌불백
대표
12,000원; 김치찌개
8,000원; 고추튀김
6,000원; 계란말이
6,000원"
삼성골목집 삼성본점,1416884407,"육류,고기요리",서울 강남구 테헤란로104길 19 2층,0507-1475-1282,,"단체 이용 가능, 남/녀 화장실 구분",,"토
16:00 - 22:00
21:00 라스트오더; 일
정기휴무 (매주 일요일); 월
11:30 - 22:00
15:00 - 17:00 브레이크타임
21:00 라스트오더; 화
11:30 - 22:00
15:00 - 17:00 브레이크타임
21:00 라스트오더; 수
11:30 - 22:00
15:00 - 17:00 브레이크타임
21:00 라스트오더; 목
11:30 - 22:00
15:00 - 17:00 브레이크타임
21:00 라스트오더; 금
11:30 - 22:00
15:00 - 17:00 브레이크타임
21:00 라스트오더","파삼겹살
대표
[줄서는식당] 히트 메뉴 ★ 생삼겹에 대파를 꽂아 급냉한 꼬소~한 파향 가득 !
17,000원; 생삼겹살
대표
육즙 가득 ~ 후회없는 생삼겹
17,000원; 두껍데기
대표
[줄서는식당/맛있는 녀석들] 돼지 1마리 당 1인분 나오는 특수부위
17,000원; 항정살
17,000원; 제육 듬뿍 볶음밥
7,000원; 고기 된장말이밥 中
12,000원; 고기 된장말이밥 大
19,000원; 급냉삼겹살
15,000원; 된장찌개
7,000원"
육전식당 4호점,94725546,"육류,고기요리",서울 강남구 테헤란로8길 11-4 신도빌딩 1층,02-3452-6373,,"단체 이용 가능, 남/녀 화장실 구분",,"금
11:30 - 21:30
15:00 - 17:00 브레이크타임
21:00 라스트오더; 토
11:30 - 21:30
15:00 - 17:00 브레이크타임
21:00 라스트오더; 일
정기휴무 (매주 일요일); 월
11:30 - 21:30
15:00 - 17:00 브레이크타임
21:00 라스트오더; 화
11:30 - 21:30
15:00 - 17:00 브레이크타임
21:00 라스트오더; 수
11:30 - 21:30
15:00 - 17:00 브레이크타임
21:00 라스트오더; 목
11:30 - 21:30
15:00 - 17:00 브레이크타임
21:00 라스트오더","통생삼겹살 150g
대표
19,000원; 통생목살 150g
대표
19,000원; 항정살 150g
대표
21,000원; 육전 떡갈비
대표
육전 특제 수제 떡갈비 정식 청양 오리지널 각 1pcs
12,000원; 육전 돼지불백
대표
매콤한 특제소스에 불향이 가득 개인화로에 제공되어 따듯하게 !(점심한정)
11,000원; 제육백반
대표
매콤한 고추장 양념이 일품인 제육볶음(점심한정)
11,000원; 제주오겹살 170g
제주 오겹살 껍데기에 식감과 고소함은 두배!
21,000원; 들기름 막국수
국내산 들기름과 육전만의 비법소스로 고소함과 감칠맛의 극대화 된 메뉴
11,000원; 꼬시래기 비빔 막국수
특재 양념에 몸에 좋고 식감도 일품인 꼬시래기를 더한 시그니처
10,000원; 동치미 물막국수
직접 담근 동치미와 고소한 메밀면의 조화
10,000원; 김치/된장 찌게
9,000원"
남영동양문 역삼점,1140268846,"육류,고기요리",서울 강남구 언주로93길 21 1층,02-556-2662,,"단체 이용 가능, 남/녀 화장실 구분, 예약, 무선 인터넷, 주차",,"매일
00:00 - 24:00","이게 기본상이라구!?
양문 푸짐한 기본상! 해장국+마늘쫑새우+쟁반냉면이 무료!
무료; 생소갈비 한판 (600g)
소고기 중 가장 맛있는 뼈 붙은 갈비. 생소갈비로 푸짐하게! 나는 가끔 버터에 구워먹습니다
69,000원; 생소갈비 반판 (400g)
59,000원; 소갈비 주물럭 (600g)
주문즉시 숙성 간장에 마늘, 대파와 바로 무쳐냅니다. 좋은 고기는 미리 재우지 않습니다.
59,000원; 한우숯불차돌 (150g)
한우차돌을 두툼하게 썰었습니다. 꼬들 식감과 숯불 간장 조합은 흰쌀밥을 외치게 할 것입니다
26,000원; LA 갈비 (250g)
부드러운 육질과 비법 양념의 만남 양문이 엄선한 진짜 LA 갈비
23,000원; 거대막창 (200g)
막창의 반을 갈라 이불처럼 거대한 막창입니다. 기름에 튀겨내듯 숯불에 바짝 익혀드세요
18,000원; 한우모듬 (500g)
등심, 부채살, 갈비업진살
100,000원; 한우 1등급 등심 (100g)
19,000원; 한우 1등급 부채살 (100g)
18,000원; 한우 갈비 업진살 (100g)
18,000원; 한우육회 (150g)
한우육회에 마늘과 대파를 즉석에서 무쳐내어 풍미를 극대화 했습니다
15,000원; 백골라면
사골의 가장 깊은 맛을 가져왔습니다. 사골 골수 고명을 잘 발라내어 뽀얀 국물에 섞어드세요
8,000원; 갈비라구스파게티
소갈비를 손질한 자투리로 만듭니다. 산미있는 데미글라스에 고기풍미 녹인 소스는 유일합니다
14,000원; 된장술밥
맛있는 된장찌개 비법은 야채 많이, 고기 많이입니다. 칼칼하게 맛있는 술밥을 내어드립니다.
5,000원; 뚝배기 알밥
6,000원; 계란찜
6,000원; 칡냉면
물 / 비빔 / 불
5,000원; 묵사발
5,000원; 양문해장국 (추가주문시)
기본상차림
3,000원; 게장 (추가주문시)
기본상차림
1,000원; 군고구마
테이블당 2pc 첫 주문시에만 주문 가능합니다. 익는데까지 시간이 오래걸려요. 추가불가
4,000원"
외가집,1447938016,"육류,고기요리",서울 강남구 강남대로122길 28 1층 외가집,0507-1477-9970,,"무선 인터넷, 반려동물 동반, 예약, 단체 이용 가능",,"매일
17:00 - 05:00
04:30 라스트오더","양념 갈비살
대표
특제 비법소스로 숙성시킨 양념갈비살
18,000원; 마늘 생갈비살
대표
최상급 갈비살과 마늘의 조화
18,000원; 매운 쭈꾸미볶음
대표
정말로 맛있게 매워요
15,000원; 가락국수
감칠맛이 폭발하는 따뜻한 국수
5,000원; 비빔가락국수
이것도 수제 비법소스로 버무려요
6,000원; 게살계란찜
게살과 계란의 몽글몽글한 맛남
5,000원; 된장찌개
조개육수로 끓인 얼큰한 된장찌개
5,000원; 고추장찌개
고기와 야채로 진득하게 끓여낸 고추장찌개
6,000원"
교대이층집 강남역점,1010367000,"육류,고기요리",서울 강남구 강남대로78길 14 2층,0507-1488-7116,,"단체 이용 가능, 예약, 남/녀 화장실 구분, 대기공간",,"매일
14:00 - 02:00","꽃삼겹(150g)
대표
얇은 삼겹살에 여러 가지 야채를 넣어 싸 드시는 매장 시그니쳐 메뉴~~ 깔끔한 맛이 일품입니다.
17,000원; 통삼겹(160g)
대표
겉바 속촉으로 맛있게 구워 드리는 육즙 팡~ 터지는 고소한 프리미엄 통삼겹살입니다.
17,000원; 통목살(160g)
국내산 프리미엄 돼지 1등급으로 두툼한 목살에서 터져나오는 육즙을 즐기실 수 있습니다.
17,000원; 통항정(150g)
돼지 한마리에서 소량만 나오는 돼지 특수부위 최고급부위로 교대이층집만의 프리미엄 항정살을 맛보실 수 있습니다.
19,000원; 한우차돌박이(한우1++, 150g)
국내산 한우 1++ 차돌박이로 특제소스와 같이 찍어 드시면 차돌박이 특유의 쫄깃함과 고소함을 느끼실 수 있습니다.
29,000원; 한우채끝등심(한우1++, 150g)
한우1++ 프리미엄 채끝 등심의 깊은 맛을 느껴보십시요. 정말 자신있는 소고기 시그니쳐 메뉴!!
43,000원; 해물냄비 추가
기본 상차림에 포함되어 있는 메뉴입니다. 시원한 가스우부시육수에 야채와 해물이 들어있습니다
10,000원; 버섯칼국수
기본 제공되는 해물냄비에 건더기 드신 후 육수 추가하여 끊여 드실 수 있습니다.
8,000원; 볶음밥한 판
베이컨과 특제 양념으로 비벼 볶은밥으로 식후 꼭 드셔야 메뉴입니다
12,000원; 시골된장찌개
전통 재래식된장과 소고기를 가득 넣어 끊인 된장찌게로 밥에 비벼 드시는 스타일입니다
8,000원; 냉면(물/비빔)
물냉면과 비빔냉면이 있으며 시원한 육수 맛과 탱탱한 면발이 최고입니다
7,000원"
국제수입식당 본점,1256460481,"육류,고기요리",서울 강남구 논현로79길 62,0507-1434-5477,,"단체 이용 가능, 남/녀 화장실 구분, 배달, 포장, 예약","생방송오늘아침 4373회, 24.01.16.
2024년 1월 16일
 삼겹살; 생방송투데이 2752회, 21.02.01.
2021년 2월 1일
 냉동삼겹살","금
17:00 - 02:00; 토
17:00 - 02:00; 일
17:00 - 02:00; 월
17:00 - 02:00; 화
17:00 - 02:00; 수
17:00 - 02:00; 목
17:00 - 02:00","국제삼겹살(냉동삼겹살)
대표
4,900원; 안주용 수제왕돈까스
대표
7,000원; 벌집껍데기
6,000원; 돼지갈비
8,000원; 차돌박이
9,900원; 버섯모둠
3,000원; 깻잎육회
12,000원; 마가린볶음밥
3,000원; 우렁된장찌개
7,000원; 오뎅김치찌개
7,000원; 바지락순두부
7,000원; 한우육회비빔밥
7,000원; 냉면정식
7,000원; 김치물/비빔냉면
6,000원; 치즈추가
2,000원; 왕돈까스 찌개정식(점심 특선)
9,900원; 돈까스 냉면정식(점심특선)
9,900원; 폭탄계란찜
6,000원; 수제왕돈까스
7,000원"
